City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto baquerizo moreno,-0.9,-89.6,72.43,89,28,7.2,EC,1716856807
1,pariaman,-0.619,100.12,82.45,86,77,2.04,ID,1716856936
2,codrington,-38.2667,141.9667,63.21,40,5,14.18,AU,1716856937
3,grytviken,-54.2811,-36.5092,30.49,81,24,12.12,GS,1716856939
4,mundybash,53.211,87.2983,51.26,97,100,6.4,RU,1716856940
5,port-aux-francais,-49.35,70.2167,37.26,77,61,53.98,TF,1716856941
6,petropavlovsk-kamchatsky,53.0452,158.6483,50.59,75,75,8.95,RU,1716856942
7,lazaro cardenas,17.9583,-102.2,81.57,62,1,7.31,MX,1716856943
8,puerto natales,-51.7236,-72.4875,31.08,89,44,3.22,CL,1716856944
9,iskateley,67.6803,53.1512,30.02,78,49,15.01,RU,1716856946
10,salinopolis,-0.6136,-47.3561,80.19,84,4,8.66,BR,1716856947
11,olonkinbyen,70.9221,-8.7187,34.03,89,100,6.78,SJ,1716856948
12,ron,15.6667,75.7333,76.26,83,100,15.73,IN,1716856949
13,udachny,66.4167,112.4,63.45,55,0,21.74,RU,1716856950
14,edinburgh of the seven seas,-37.0676,-12.3116,53.96,75,96,14.72,SH,1716856951
15,tura,25.5198,90.2201,73.0,97,100,14.56,IN,1716856953
16,palmer,42.1584,-72.3287,69.4,81,100,11.5,US,1716856897
17,adamstown,-25.066,-130.1015,69.3,72,11,9.44,PN,1716856956
18,talcher,20.95,85.2167,86.95,76,58,5.59,IN,1716856957
19,villa huidobro,-34.8383,-64.5869,40.17,69,100,7.74,AR,1716856958
20,ferkessedougou,9.6,-5.2,80.17,69,75,4.76,CI,1716856959
21,yellowknife,62.456,-114.3525,66.72,40,75,19.57,CA,1716856960
22,lihue,21.9789,-159.3672,83.44,69,20,12.66,US,1716856961
23,blackmans bay,-43.0167,147.3167,55.72,93,65,1.01,AU,1716856962
24,columbus,39.9612,-82.9988,70.14,68,75,13.8,US,1716856551
25,new norfolk,-42.7826,147.0587,56.91,81,91,2.35,AU,1716856965
26,kasba tadla,32.5977,-6.2684,73.54,48,34,5.06,MA,1716856966
27,hamilton,39.1834,-84.5333,72.45,66,20,12.66,US,1716856359
28,ta`u,-14.2336,-169.5144,83.82,80,82,13.71,AS,1716856968
29,qaqortoq,60.7167,-46.0333,35.47,83,6,3.78,GL,1716856969
30,simplicio mendes,-7.8539,-41.9103,72.19,46,66,5.21,BR,1716856970
